id,description,name,price,quantity_in_stock,brand_id,category_id,image_url
1,Výkonný procesor vhodný pro každodenní práci i hraní her.,Intel Core i5-13400F,4799,35,3,1,https://image.alza.cz/products/BOi513400f/BOi513400f.jpg?width=2000&height=2000
2,Vysoký výkon pro náročné uživatele a kreativní práci.,Intel Core i7-13700,9899,20,3,1,https://image.alza.cz/products/BOi713700/BOi713700.jpg?width=2000&height=2000
4,Extrémní výkon pro multitasking a profesionální nasazení.,AMD Ryzen 9 7900X,12990,12,2,1,https://image.alza.cz/products/BD750k8/BD750k8.jpg?width=2000&height=2000
5,Dostupný čtyřjádrový procesor ideální pro kancelářskou práci.,Intel Core i3-12100,2990,50,3,1,https://image.alza.cz/products/BOi712100/BOi712100.jpg?width=2000&height=2000
7,Vlajková loď mezi procesory s vysokým taktem a efektivitou.,Intel Core i9-14900K,14990,8,3,1,https://image.alza.cz/products/BOi914900k/BOi914900k.jpg?width=2000&height=2000
9,Základní model pro nenáročné uživatele a kancelářské sestavy.,Intel Core Ultra 7 265K,1690,60,3,1,https://image.alza.cz/products/BOu7265k/BOu7265k.jpg?width=2000&height=2000
10,Levné řešení s integrovanou grafikou pro základní úlohy.,AMD Ryzen 7 9800X3D,1390,40,2,1,https://image.alza.cz/products/BD750m7b1/BD750m7b1.jpg?width=2000&height=2000
11,Výkonná grafická karta s 12GB pamětí GDDR6 a efektivním chlazením.,MSI GeForce RTX 3060 VENTUS 2X 12G OC,8999,15,6,2,https://image.alza.cz/products/EFr3060v2x2/EFr3060v2x2.jpg?width=2000&height=2000
12,Robustní grafická karta s vysokým výkonem a odolným designem.,ASUS GeForce TUF RTX 3070 O8G GAMING,14999,10,4,2,https://image.alza.cz/products/ECr3070t2/ECr3070t2.jpg?width=2000&height=2000
13,Grafická karta s 12GB pamětí a pokročilým chlazením Windforce.,GIGABYTE Radeon RX 6700 XT GAMING OC 12G,11999,12,5,2,https://image.alza.cz/products/EGr6700xg2/EGr6700xg2.jpg?width=2000&height=2000
14,High-end grafická karta s 16GB pamětí a agresivním designem.,PowerColor Red Devil Radeon RX 6800 XT,19999,4,2,2,https://image.alza.cz/products/RDrx6900x1/RDrx6900x1.jpg?width=2000&height=2000
16,Špičková grafická karta s 24GB pamětí pro náročné aplikace.,EVGA GeForce RTX 3090 FTW3 ULTRA,34999,2,1,2,https://image.alza.cz/products/EVr3090h4/EVr3090h4.jpg?width=2000&height=2000
17,Cenově dostupná grafická karta s 6GB pamětí pro Full HD hraní.,ASROCK Radeon RX 5600 XT Phantom Gaming D2 6G OC,7999,10,4,2,https://image.alza.cz/products/AS320g4e/AS320g4e.jpg?width=2000&height=2000
18,Grafická karta s 6GB pamětí a kompaktním designem.,PALIT GeForce GTX 1660 SUPER GP OC,6999,20,1,2,https://image.alza.cz/products/PALg1660go/PALg1660go.jpg?width=1400&height=1400
19,Moderní grafická karta s 8GB pamětí a tichým chlazením.,Inno3D GeForce RTX 3050 Twin X2 OC 8G,8499,18,1,2,https://image.alza.cz/products/I3Dr3050tx2o/I3Dr3050tx2o.jpg?width=2000&height=2000
21,"Výkonná základní deska s čipsetem B550, podporou PCIe 4.0 a integrovaným Wi-Fi modulem.",ASUS ROG STRIX B550-F GAMING (WI-FI),4999,10,4,3,https://image.alza.cz/products/ACb550rsfg/ACb550rsfg.jpg?width=2000&height=2000
22,"Základní deska pro procesory Intel s čipsetem Z490, podporou DDR4 a integrovaným Wi-Fi.",MSI MPG Z490 GAMING EDGE WIFI,5499,8,6,3,https://image.alza.cz/products/AAz490a7/AAz490a7.jpg?width=2000&height=2000
23,Deska pro AMD Ryzen s podporou AMD CrossFire a moderními konektory M.2.,GIGABYTE B450 AORUS ELITE,2999,15,5,3,https://image.alza.cz/products/AG450m3/AG450m3.jpg?width=2000&height=2000
25,"Odolná deska s čipsetem X570, podporou PCIe 4.0 a integrovaným Wi-Fi modulem.",ASUS TUF X570-PLUS GAMING (Wi-Fi),5499,7,4,3,https://image.alza.cz/products/ACX5707/ACX5707.jpg?width=2000&height=2000
26,Výkonná deska pro AMD s podporou rychlých pamětí a PCIe 4.0.,MSI MAG B550 TOMAHAWK,3799,9,6,3,https://image.alza.cz/products/AA393f3/AA393f3.jpg?width=2000&height=2000
27,Deska pro Intel s Wi-Fi 6 a kvalitním zvukovým čipem.,GIGABYTE Z590 AORUS ELITE AX,5999,6,5,3,https://image.alza.cz/products/AGz590aea/AGz590aea.jpg?width=2000&height=2000
30,Micro-ATX deska pro AMD s kvalitním napájením a podporou DDR4.,MSI B450M MORTAR MAX,2899,13,6,3,https://image.alza.cz/products/AA393e5c/AA393e5c.jpg?width=2000&height=2000
29,Kompaktní deska pro Intel s podporou M.2 SSD a Aura Sync RGB.,ASUS PRIME B460M-A,2499,10,4,3,https://image.alza.cz/products/ACb460pma/ACb460pma.jpg?width=1400&height=1400
15,"Výkonná grafická karta s 10GB GDDR6X pamětí, robustním chlazením a odolným designem.",ASUS TUF GeForce RTX 3080 GAMING V2 O10G,22999,1,4,2,https://image.alza.cz/products/ECr3080t4/ECr3080t4.jpg?width=2000&height=2000
24,Stylová základní deska s RGB podsvícením a podporou M.2 SSD.,ASROCK B450 Steel Legend,3299,10,4,3,https://image.alza.cz/products/AS258f1/AS258f1.jpg?width=2000&height=2000
3,6jádrový procesor s moderní architekturou pro hráče i vývojáře.,AMD Ryzen 5 7600X,6399,15,2,1,https://image.alza.cz/products/BD750k5/BD750k5.jpg?width=2000&height=2000
31,Výkonná paměť s nízkým profilem pro lepší kompatibilitu a efektivním chlazením.,Corsair 16GB KIT DDR4 3200MHz CL16 Vengeance LPX černá,1899,20,7,4,https://image.alza.cz/products/DO710l8c1/DO710l8c1.jpg?width=2000&height=2000
32,Rychlá paměť s agresivním designem pro hráče a pasivním chlazením.,G.SKILL Ripjaws V 16GB (2x8GB) DDR4 3600MHz,2099,18,3,4,https://image.alza.cz/products/GSKrpj16a/GSKrpj16a.jpg?width=2000&height=2000
33,Spolehlivá paměť s automatickým přetaktováním a stylovým designem.,Kingston HyperX Fury 16GB (4x4GB) DDR4 2666MHz,1799,22,7,4,https://image.alza.cz/products/DE65c6e/DE65c6e.jpg?width=2000&height=2000
